time [µs]	HF [V]	NF [V]	TGC [dB]
80,7	0,000	0,000	0,157
80,8	0,000	0,000	0,157
80,9	0,000	0,000	0,157
81,0	0,000	0,000	0,157
81,1	0,000	0,000	0,157
81,2	0,000	0,000	0,157
81,3	0,000	0,000	0,157
81,4	0,000	0,000	0,157
81,5	0,000	0,000	0,157
81,6	0,000	0,000	0,157
81,7	0,001	0,000	0,157
81,8	0,001	0,000	0,157
81,9	0,001	0,000	0,157
82,0	0,000	0,000	0,157
82,1	0,000	0,000	0,157
82,2	0,000	0,000	0,157
82,3	0,000	0,000	0,157
82,4	0,000	0,000	0,157
82,5	0,000	0,000	0,157
82,6	0,000	0,000	0,157
82,7	0,000	0,000	0,157
82,8	0,000	0,000	0,157
82,9	0,000	0,000	0,157
83,0	0,000	0,000	0,157
83,1	0,000	0,000	0,157
83,2	0,000	0,000	0,157
83,3	0,000	0,000	0,157
83,4	0,000	0,000	0,157
83,5	0,000	0,000	0,157
83,6	0,000	0,000	0,157
83,7	0,000	0,000	0,157
83,8	0,000	0,000	0,157
83,9	0,000	0,000	0,157
84,0	0,000	0,000	0,157
84,1	0,000	0,000	0,157
84,2	0,000	0,000	0,157
84,3	0,000	0,000	0,157
84,4	0,000	0,000	0,157
