time,Y 
0.567844,0.5725305
0.567867,0.5738054
0.567889,0.5699806
0.567911,0.5725305
0.567933,0.5725305
0.567955,0.5687056
0.567978,0.5750803
0.568000,0.5725305
0.568022,0.5712555
0.568044,0.5750803
0.568066,0.5687056
0.568089,0.5725305
0.568111,0.5712555
0.568133,0.5712555
0.568155,0.5738054
0.568177,0.5699806
0.568200,0.5738054
0.568222,0.5712555
0.568244,0.5712555
0.568266,0.5750803
0.568289,0.5699806
0.568311,0.5712555
0.568333,0.5712555
0.568355,0.5687056
0.568377,0.5750803
0.568400,0.5712555
0.568422,0.5712555
0.568444,0.5750803
0.568466,0.5687056
0.568488,0.5712555
0.568511,0.5725305
0.568533,0.5712555
0.568555,0.5738054
0.568577,0.5687056
0.568599,0.5725305
0.568622,0.5712555
0.568644,0.5687056
0.568666,0.5750803
0.568688,0.5725305
0.568710,0.5725305
0.568733,0.5725305
0.568755,0.5712555
0.568777,0.5750803
0.568799,0.5725305
0.568822,0.5725305
0.568844,0.5712555
0.568866,0.5699806
0.568888,0.5750803
0.568910,0.5712555
0.568933,0.5725305
0.568955,0.5750803
0.568977,0.5674307
0.568999,0.5712555
0.569021,0.5712555
0.569044,0.5687056
0.569066,0.5750803
0.569088,0.5712555
0.569110,0.5725305
0.569132,0.5738054
0.569155,0.5712555
0.569177,0.5738054
0.569199,0.5687056
0.569221,0.5725305
0.569243,0.5725305
0.569266,0.5687056
0.569288,0.5738054
0.569310,0.5725305
0.569332,0.5712555
0.569355,0.5750803
0.569377,0.5687056
0.569399,0.5725305
0.569421,0.5712555
0.569443,0.5687056
0.569466,0.5750803
0.569488,0.5725305
0.569510,0.5712555
0.569532,0.5738054
0.569554,0.5687056
0.569577,0.5712555
0.569599,0.5712555
0.569621,0.5725305
0.569643,0.5712555
0.569665,0.5687056
0.569688,0.5750803
0.569710,0.5725305
0.569732,0.5725305
0.569754,0.5750803
0.569776,0.5699806
0.569799,0.5725305
0.569821,0.5712555
0.569843,0.5687056
0.569865,0.5750803
0.569888,0.5725305
0.569910,0.5712555
0.569932,0.5750803
0.569954,0.5699806
0.569976,0.5725305
0.569999,0.5712555
0.570021,0.5712555
0.570043,0.5738054
0.570065,0.5699806
0.570087,0.5725305
0.570110,0.5725305
0.570132,0.5687056
0.570154,0.5750803
0.570176,0.5712555
0.570198,0.5725305
0.570221,0.5750803
0.570243,0.5687056
0.570265,0.5725305
0.570287,0.5725305
0.570309,0.5725305
0.570332,0.5712555
0.570354,0.5687056
0.570376,0.5738054
0.570398,0.5725305
0.570421,0.5725305
0.570443,0.5750803
0.570465,0.5687056
0.570487,0.5725305
0.570509,0.5712555
0.570532,0.5699806
0.570554,0.5750803
0.570576,0.5725305
0.570598,0.5712555
0.570620,0.5750803
0.570643,0.5687056
0.570665,0.5725305
0.570687,0.5712555
0.570709,0.5687056
0.570731,0.5725305
0.570754,0.5712555
0.570776,0.5725305
0.570798,0.5725305
0.570820,0.5712555
0.570842,0.5750803
0.570865,0.5687056
0.570887,0.5725305
0.570909,0.5712555
0.570931,0.5687056
0.570954,0.5750803
0.570976,0.5712555
0.570998,0.5712555
0.571020,0.5750803
0.571042,0.5687056
0.571065,0.5725305
0.571087,0.5725305
0.571109,0.5687056
0.571131,0.5738054
0.571153,0.5725305
0.571176,0.5750803
0.571198,0.5750803
0.571220,0.5725305
0.571242,0.5750803
0.571264,0.5687056
0.571287,0.5725305
0.571309,0.5712555
0.571331,0.5699806
0.571353,0.5738054
0.571375,0.5725305
0.571398,0.5725305
0.571420,0.5750803
0.571442,0.5725305
0.571464,0.5712555
0.571487,0.5725305
0.571509,0.5699806
0.571531,0.5738054
0.571553,0.5687056
0.571575,0.5712555
0.571598,0.5712555
0.571620,0.5687056
0.571642,0.5738054
0.571664,0.5712555
0.571686,0.5674307
0.571709,0.5725305
0.571731,0.5725305
0.571753,0.5738054
0.571775,0.5725305
0.571797,0.5725305
0.571820,0.5738054
0.571842,0.5699806
0.571864,0.5699806
0.571886,0.5738054
0.571908,0.5687056
0.571931,0.5738054
0.571953,0.5712555
0.571975,0.5725305
0.571997,0.5750803
0.572020,0.5699806
0.572042,0.5712555
0.572064,0.5725305
0.572086,0.5687056
0.572108,0.5750803
0.572131,0.5725305
0.572153,0.5725305
0.572175,0.5750803
0.572197,0.5687056
0.572219,0.5750803
0.572242,0.5725305
0.572264,0.5699806
0.572286,0.5674307
0.572308,0.5699806
0.572330,0.5712555
0.572353,0.5712555
0.572375,0.5687056
0.572397,0.5738054
0.572419,0.5712555
0.572441,0.5725305
0.572464,0.5712555
0.572486,0.5725305
0.572508,0.5738054
0.572530,0.5687056
0.572553,0.5725305
0.572575,0.5712555
0.572597,0.5699806
0.572619,0.5750803
0.572641,0.5712555
0.572664,0.5712555
0.572686,0.5738054
0.572708,0.5687056
0.572730,0.5725305
0.572752,0.5699806
0.572775,0.5687056
0.572797,0.5750803
0.572819,0.5725305
0.572841,0.5725305
0.572863,0.5750803
0.572886,0.5687056
0.572908,0.5738054
0.572930,0.5712555
0.572952,0.5725305
0.572974,0.5750803
0.572997,0.5687056
0.573019,0.5725305
0.573041,0.5725305
0.573063,0.5687056
0.573086,0.5750803
0.573108,0.5725305
0.573130,0.5725305
0.573152,0.5750803
0.573174,0.5687056
0.573197,0.5712555
0.573219,0.5687056
0.573241,0.5725305
0.573263,0.5750803
0.573285,0.5687056
0.573308,0.5750803
0.573330,0.5725305
0.573352,0.5725305
0.573374,0.5738054
0.573396,0.5687056
0.573419,0.5725305
0.573441,0.5725305
0.573463,0.5699806
0.573485,0.5738054
0.573507,0.5712555
0.573530,0.5725305
0.573552,0.5738054
0.573574,0.5687056
0.573596,0.5725305
0.573619,0.5712555
0.573641,0.5699806
